JobName,JobURL
Junior Technical Writer,/locuri-de-munca/locuri_de_munca/153299/Finastra/Junior-Technical-Writer-
C++ Software Engineer,/locuri-de-munca/locuri_de_munca/153237/Finastra/C++-Software-Engineer-
Java Developer with Continuous Integration,/locuri-de-munca/locuri_de_munca/153108/LSEG-Romania/Java-Developer-with-Continuous-Integration
"Junior Python Developer, Agency RMBS","/locuri-de-munca/locuri_de_munca/153107/LSEG-Romania/Junior-Python-Developer,-Agency-RMBS"
"Junior Python Developer, CMBS","/locuri-de-munca/locuri_de_munca/153105/LSEG-Romania/Junior-Python-Developer,-CMBS"
"Junior Python Developer, Non-Agency RMBS","/locuri-de-munca/locuri_de_munca/153104/LSEG-Romania/Junior-Python-Developer,-Non-Agency-RMBS"
Junior Data Developer,/locuri-de-munca/locuri_de_munca/153103/LSEG-Romania/Junior-Data-Developer
Software Engineer (.Net/C#),/locuri-de-munca/locuri_de_munca/152889/Finastra/Software-Engineer-(.Net/C#)
Java Software Engineer,/locuri-de-munca/locuri_de_munca/152888/Finastra/Java-Software-Engineer-
Solutions Architect,/locuri-de-munca/locuri_de_munca/152218/MassMutual-Romania/Solutions-Architect
Data Scientist,/locuri-de-munca/locuri_de_munca/151710/LSEG-Romania/Data-Scientist
Technical Support Engineer,/locuri-de-munca/locuri_de_munca/151703/Veeam-Software/Technical-Support-Engineer
Incident Management Officer with Czech,/locuri-de-munca/locuri_de_munca/150876/Accenture/Incident-Management-Officer-with-Czech
Network Activation Engineer with German,/locuri-de-munca/locuri_de_munca/150875/Accenture/Network-Activation-Engineer-with-German
Incident Mangement Officer with French,/locuri-de-munca/locuri_de_munca/150763/Accenture/Incident-Mangement-Officer-with-French
Senior Full Stack .Net Developer (on-site/remote),/locuri-de-munca/locuri_de_munca/150339/IHS-Markit/Senior-Full-Stack-.Net-Developer-(on-site/remote)
Senior Software Developer Equities C#,/locuri-de-munca/locuri_de_munca/150331/IHS-Markit/Senior-Software-Developer-Equities-C#
Senior UI/UX Engineer,/locuri-de-munca/locuri_de_munca/150330/IHS-Markit/Senior-UI/UX-Engineer
Smart Phone Testing Engineer,/locuri-de-munca/locuri_de_munca/150071/OPPO-Romania/Smart-Phone-Testing-Engineer
Mid-level Java Developer,/locuri-de-munca/locuri_de_munca/150018/VERINT-Cyber-Intelligence/Mid-level-Java-Developer-
Tehnician Suport IT (limba franceza),/locuri-de-munca/locuri_de_munca/153404/VEO-Worldwide-Services/Tehnician-Suport-IT-(limba-franceza)
Hybrid Cloud Rollout Engineer,/locuri-de-munca/locuri_de_munca/153530/Allianz-Technology/Hybrid-Cloud-Rollout-Engineer
Ruby developer,/locuri-de-munca/locuri_de_munca/153525/EasyDO-Digital-Technologies/Ruby-developer
IT Project Manager with French,/locuri-de-munca/locuri_de_munca/153504/Societe-Generale-European-Business-Services/IT-Project-Manager-with-French
IAM Certification Campaign Manager with French,/locuri-de-munca/locuri_de_munca/153500/Societe-Generale-European-Business-Services/IAM-Certification-Campaign-Manager-with-French
Project Management Officer,/locuri-de-munca/locuri_de_munca/153488/bitExpert/Project-Management-Officer
Project Officer 24x7,/locuri-de-munca/locuri_de_munca/153487/bitExpert/Project-Officer-24x7
DevOps with PMI skills,/locuri-de-munca/locuri_de_munca/153486/bitExpert/DevOps-with-PMI-skills
Junior Workforce Management Analyst,/locuri-de-munca/locuri_de_munca/153484/Valoris-Center/-Junior-Workforce-Management-Analyst
Technical Support Specialist with German HBT,/locuri-de-munca/locuri_de_munca/153456/Honeywell/Technical-Support-Specialist-with-German-HBT
EE Junior Engineers,/locuri-de-munca/locuri_de_munca/153439/Bertrandt-Engineering-Technologies/EE-Junior-Engineers
RPA Expert,/locuri-de-munca/locuri_de_munca/153438/CONNECTIONS-ROMANIA/RPA-Expert-
SW Requirement Engineer,/locuri-de-munca/locuri_de_munca/153431/Bertrandt-Engineering-Technologies/SW-Requirement-Engineer
Model Based Developer,/locuri-de-munca/locuri_de_munca/153429/Bertrandt-Engineering-Technologies/Model-Based-Developer-
Junior Test Engineer with French,/locuri-de-munca/locuri_de_munca/153425/Accenture/Junior-Test-Engineer-with-French
